start	end	text
299120	303120	second, that third, that fourth cookie.
303120	308120	We call this cognitive control, we're using cognition to control our behavior.
308120	312080	Unfortunately this is also the first part of a brain that goes offline when we get stressed
312080	314560	out, which isn't that helpful.
314560	318800	Now we can all relate to this in our own experience, we're much more likely to do things like
318800	322840	yell at our spouser kids when we're stressed out or tired, even though we know it's not going
322840	327280	to be helpful, we just can't help ourselves.
327280	331720	Now when the prefrontal cortex goes offline, we fall back into our whole habits, which
331720	334600	is why this disenchantment is so important.
334600	338680	Seeing what we get from our habits helps us understand them in a deeper level, to know
338680	342200	it in our own bones, so we don't have to force ourselves to hold back or restrain ourselves
342200	346640	from behavior, we're just less interested in doing it in the first place.
346640	351360	And this is what mindfulness is all about, seeing really clearly what we get when we get
351360	358400	caught up in our behaviors, becoming disenchanted on a visceral level, and from this disenchanted
358400	361120	stance naturally letting go.
361120	365560	This isn't to say that, poof, magically we quit smoking, but over time, as we learn
365560	370040	to see more and more clearly the results of our actions, we let go of old habits and
370040	372240	form new ones.
372240	376640	The paradox here is that mindfulness is just about being really interested in getting
376640	382080	close and personal with what's actually happening in our bodies and minds from moment to moment.
382080	386080	This willingness to turn toward our experience rather than trying to make unpleasant cravings
386080	388960	go away as quickly as possible.
388960	394120	And this willingness to turn toward our experience is supported by curiosity, which is naturally
394120	395120	rewarding.
395120	396840	What does curiosity feel like?
396840	399160	It feels good.
399160	401480	And what happens when we get curious?
401480	404840	We start to notice that cravings are simply made up of body sensations.
404840	410120	Oh, there's tightness, there's tension, there's restlessness, and that these body sensations
410120	412040	come and go.
412040	417200	These are bite-sized pieces of experiences that we can manage for a moment to moment rather
417200	422640	than getting clobbered by this huge scary craving that we choke on.
422640	428640	In other words, when we get curious, we step out of our old fear-based reactive habit
428640	432120	patterns and we step into being.
432120	438280	We become this inner scientist where we're eagerly awaiting that next data point.
438280	444400	Now this might sound too simplistic to affect behavior, but in one study we found that mindfulness
444400	449200	training was twice as good as gold standard therapy at helping people quit smoking.
449200	451960	So it actually works.
451960	456360	And when we studied the brains of experienced meditators, we found that parts of a neural
456360	461320	network of self-referential processing called the default mode network were at play.
461320	465520	Now one current hypothesis is that a region of this network called the posterior cingulate
465520	470680	cortex is activated not necessarily by craving itself, but when we get caught up in it,
470680	473720	when we get sucked in and it takes us for a ride.
473720	478640	In contrast, when we let go, step out of the process just by being curiously aware of
478640	483480	what's happening, this same green region quiets down.
483480	490760	Now we're testing app and online-based mindfulness training programs that target these core mechanisms.
490760	496040	And ironically, use the same technology that's driving us to distraction to help us step
496040	501040	out of our unhealthy habit patterns of smoking, of stress-eating, and other addictive behaviors.
501800	504240	Now remember that bit about context-dependent memory?
504240	509600	We can deliver these tools to people's fingertips in the context that matter most.
509600	514240	So we can help them tap into their inherent capacity to be curiously aware right when
514240	518760	that urge to smoke or stress-eat or whatever arises.
518760	522720	So if you don't smoke or stress-eat, maybe the next time you feel this urge to check
522720	526680	your email when you're bored or you're trying to distract yourself from work, or maybe
526680	532160	to compulsively respond to that text message when you're driving, see if you can tap
532160	537840	into this natural capacity, just be curiously aware of what's happening in your body and
537840	539360	mind in that moment.
539360	544480	It will just be another chance to perpetuate one of our endless and exhaustive habit loops,
544480	546480	or step out of it.
546480	551160	Instead of see text message compulsively text back, feel a little bit better, notice the
551160	557680	urge, get curious, feel the joy of letting go, and repeat.
557680	558680	Thank you.
